qid,idEtiqueta,idUsuario,fecha,tiempoClick,fechaCarga,cuentaWeb,cuentaYA,qid,idCategoria,titulo,idioma,body,estado,prioritario,seguidores
20150829152814AAcKyhk,2,34,"2016-08-25 15:55:08",2,"2016-08-25 12:54:47",0,0,20150829152814AAcKyhk," Education & Reference","
            Can I take my 1st graders to the playboy mansion as a field trip??
        ",EN,"I'm a 1st grade teacher and I love hot naked blondes so maybe my students will??? how do  I bring it up to the principle?",1,1,0
20150905184547AANorng,5,34,"2016-08-25 15:56:03",10,"2016-08-25 12:55:08",0,0,20150905184547AANorng," Science & Mathematics","
            Did scientists ever find the missing link to prove their evolution theory?
        ",EN,"
Link it, L.",1,1,1
20150907094859AAXaH0b,3,34,"2016-08-25 15:56:28",1,"2016-08-25 12:56:03",0,0,20150907094859AAXaH0b," Education & Reference","
            I am an international student and I am going to finish my 12th i want to do UG in USA and any university offer UG?
        ",IN,,1,1,0
20150910064425AAUhT3w,2,34,"2016-08-25 15:57:18",2,"2016-08-25 12:56:28",0,0,20150910064425AAUhT3w," Travel","
            Vyacheslav Krasheninnikov predicted the Twins and the Statue of Liberty incidents, but what about the specifics?
        ",UK,"
Will the Statue make one step forward with left foot or right foot?",1,1,0
20150913182516AA5Ov3y,8,34,"2016-08-25 15:59:40",89,"2016-08-25 12:57:18",9,0,20150913182516AA5Ov3y," Games & Recreation","
            What do you do when ur in jail in monopoly?
        ",EN,,0,1,0
20150915080939AAipZb9,1,34,"2016-08-25 16:01:32",29,"2016-08-25 12:59:41",0,0,20150915080939AAipZb9," Politics & Government","
            Were the soldiers really spit on and called cruel names during the Vietnam War?
        ",EN,"It seems horrible to me. Why did the public hate Vietnam soldiers just for fighting yet have no issue with WW2 bombings (Dresden, atokyo, Atomic Bombs)?
Our brave soldiers were protecting us from the Viet Cong.",0,1,0
20150916062900AAkOLEq,5,34,"2016-08-25 16:02:08",8,"2016-08-25 13:01:32",0,0,20150916062900AAkOLEq," Computers & Internet","
            Is Wifi in Home is Harmful for Kids ?
        ",EN,,0,1,0
20150921060302AA2k9Tq,8,34,"2016-08-25 16:04:27",73,"2016-08-25 13:02:08",0,0,20150921060302AA2k9Tq," Travel","
            Has suspected terrorist Joshua Goldberg ever been to Israel?
        ",UK," Goldberg, a 20-year-old Florida man living with his parents, was arrested last week for plotting online to bomb a 9/11 memorial in Kansas City.  Goldberg became very adept at creating various online personae, setting them up against each other, and getting people to take sides.  He set Jews and Muslims against each other. 
 
http://dailycaller.com/2015/09/14/joshua-goldberg-worst-troll-ever/",0,1,0
20150921094551AAYjT5v,3,34,"2016-08-25 16:05:44",1,"2016-08-25 13:04:27",0,0,20150921094551AAYjT5v," News & Events","
            If the Principal in Texas thought the clock was a bomb why didn't he evacuate the school?
        ",EN,"And why did the cops but it in their backseat?",1,1,0
20150921152245AAhF2fu,2,34,"2016-08-25 16:06:05",1,"2016-08-25 13:05:44",0,0,20150921152245AAhF2fu," News & Events","
            Can I ask how many right wingers in CE got humped over the bacon sandwich?
        ",UK,"It seems that I cannot comment or ask about mister Cameron's alleged pig experiences without the resident jerk having a hissy fit. I seem to remember being decent enough to let the right wing have their laughs at Milliband over a bacon sandwich photo. Troll much?
current event. Not a simple matter for the Y!A category, which Trolly Trollerson thinks it belongs in.",0,1,3
20150921215613AAWVXwF,5,34,"2016-08-25 16:06:57",3,"2016-08-25 13:06:06",0,0,20150921215613AAWVXwF," Games & Recreation","
            In Poker, what does it mean when people fold and say ""Too rich for my blood""?
        ",EN,,1,1,0
20150923172632AAyAing,1,34,"2016-08-25 16:07:15",2,"2016-08-25 13:06:57",0,0,20150923172632AAyAing," Beauty & Style","
            Why is Victoria's Secret PINK so expensive when the clothes are so casual?
        ",EN,"I can understand $70 for a leather jacket but $70 for a basic hoodie ???? Wtf??",1,1,0
20150924134831AAIjWXa,5,34,"2016-08-25 16:08:13",1,"2016-08-25 13:07:15",0,0,20150924134831AAIjWXa," Consumer Electronics","
            Can I call 911 on a cell phone that is deactivated?
        ",EN,"
The question is because recently my younger brother has seen fights happening around his school and to his friends when there are no teachers to be found, I gave him my old deactivated phone (yes it works) and I told him if it gets serious and there are no teachers around to call 911, would the call go through?
 The question is because recently my younger brother has seen fights happening around his school and to his friends when there are no teachers to be found, I gave him my old deactivated phone (yes it works) and I told him if it gets serious and there are no teachers around that he should call 911, would the call go through?",1,1,0
20150924145223AAgfhHK,3,34,"2016-08-25 16:09:34",2,"2016-08-25 13:08:13",0,0,20150924145223AAgfhHK," News & Events","
            Why did the media only show images of Trayvon Martin as a 12 year old?
        ",EN," instead of using more recent pictures before his death. Why did the media fabricate Zimmerman's audio when he was talking to the dispatcher? Why did the  media avoid using showing close up of Zimmerman's injuries. Also why did the media only show pictures that made Zimmerman look shady and used his mugshot.  
 
Zimmerman shot Trayvon in self-defense.",0,1,0
20150925054925AA2qmsh,3,34,"2016-08-25 16:10:46",9,"2016-08-25 13:09:34",0,0,20150925054925AA2qmsh," Home & Garden","
            What are the advantages of Marble flooring,as compared with Laminate flooring?
        ",EN,,1,1,0
20150925081241AAaorZC,3,34,"2016-08-25 16:11:12",4,"2016-08-25 13:10:46",0,0,20150925081241AAaorZC," Travel","
            Am I northern?
        ",UK," Hi, this may sound quite pathetic. Although, I was born in Leeds and grew up there until I was 6, then I moved to Stafford, I am currently 15 and I was talking to my friends today at school and I can't remember what I said, but my best friend said I wasn't really northern. I am quite proud of the fact I come from Leeds, and although I moved away, all my family still live in Leeds and Yorkshire. Do I not class as being Northern then even though I was born and partly raised there? What do you think? Thanks",1,1,0
20150926155427AAN0XLx,5,34,"2016-08-25 16:11:50",5,"2016-08-25 13:11:12",0,0,20150926155427AAN0XLx," Beauty & Style","
            Getting abs like these?
        ",EN,"Are abs like these attainable if I do enough crunches and diet?",0,1,0
20150927004923AAiS4G0,3,34,"2016-08-25 16:12:48",1,"2016-08-25 13:11:50",0,0,20150927004923AAiS4G0," Arts & Humanities","
            What does it mean if your thoughts always end up in circular reasoning?
        ",EN,"e.g. impossible <=> psychotic <=> evil <=> soulless <=? impossible",1,1,4
20150927172045AA1sP6D,5,34,"2016-08-25 16:13:52",2,"2016-08-25 13:12:48",0,0,20150927172045AA1sP6D," Society & Culture","
            What religion was Albert Einstein in? And why is Albert Einstein important when it comes to religion?
        ",CA,,1,1,6
20150930152327AAhyqAC,4,34,"2016-08-25 16:15:36",1,"2016-08-25 13:13:52",0,0,20150930152327AAhyqAC," Social Science","
            Nobody really knows. Though it has been speculated more than enough times, that the first humans orginated from the continent of ?
        ",UK," of whats known today as Africa. 
 
EAST AFrica to be more precise unless historicans wanna correct me. 
 
This is going by the most aged fossil fuels of human skulls, bones found to date. 
 
And the oldest ones were estimated to be over 150,000 years old and were found in East Africa. 
 
My question to you all then, is this: 
 
Was mass migration possible back then despite no evidence readily available to us that neandertals were capable of it ? 
 
could they have been ?",0,1,0
20150930194255AAHQHA5,3,34,"2016-08-25 16:19:55",211,"2016-08-25 13:15:36",0,0,20150930194255AAHQHA5," Health","
            Oily Skin Help?
        ",EN," I have had very oily skin for about over a year now, and it's really getting to me. And when I say very oil, I mean VERY oily. It only takes about 30-45 minutes for oil to appear. I've tried literally everything, oil free cleansers, moisturizers, blotting sheets, oil free makeup, powder, home remedies, everything you could think of. Please help?",1,1,0
20151001115330AAnXlYz,1,34,"2016-08-25 16:20:46",3,"2016-08-25 13:19:55",0,0,20151001115330AAnXlYz," Society & Culture","
            Do muslim parents know that their kids masturbate?
        ",UK,"I am muslim and I masturbate, I know its haram but I am 14 years old, let my body cool down first, so to muslim parents, do you know if your childrens masturbate?",1,1,0
20151001191846AAAtgFl,8,34,"2016-08-25 16:21:35",28,"2016-08-25 13:20:46",0,0,20151001191846AAAtgFl," Environment","
            When did people realize that global warming was happening?
        ",EN,,0,1,0
20151001204038AAw09o6,3,34,"2016-08-25 16:22:39",2,"2016-08-25 13:21:35",0,0,20151001204038AAw09o6," Beauty & Style","
            My armpits still stink?
        ",EN,"I have washed my body with soap 4 times already and my armpits still stink and I don't know why and how to stop it even when I put deodorant on it just smells like flowers and a dead body it  does not mask it at all please help me I don't know what to do",1,1,0
20151002091802AALZxfU,3,34,"2016-08-25 16:23:46",1,"2016-08-25 13:22:39",0,0,20151002091802AALZxfU," Pets","
            Why are my pitbulls fighting?
        ",EN," So u have two female pitbulls, a blue nose, and I believe a red nose mix. One is the red nose is spayed and the blue nose is not. The blue nose is 2 and a half years old and the red nose is about a year and a half. They seem to get a long most of the time but lately they have been fighting. I try to show them equally amount of love so one of them doesn't feel left out but they still seem to fight every so often. What do you think could be the reason for this? So you think they could potentially hurt each other. Fortunately I have been able to stop them and they haven't been seriously injured.",0,1,0
20151004162551AASzZqi,4,34,"2016-08-25 16:25:13",28,"2016-08-25 13:23:46",0,0,20151004162551AASzZqi," Sports","
            Need advice for sudical thoughts?
        ",EN,,1,1,0
20151006134353AAUfIKV,3,34,"2016-08-25 16:26:49",3,"2016-08-25 13:25:14",0,0,20151006134353AAUfIKV," Games & Recreation","
            Anyone know of Disneyland discount tickets?
        ",EN,"I m planning on taking my children to Disneyland for their birthday in a couple of weeks i live in a different state & I m looking for Disneyland tickets for a one day pass does anyone know of any place I can purchase them for a cheaper price?",0,1,0
20151007132503AASi3SY,3,34,"2016-08-25 16:27:53",3,"2016-08-25 13:26:49",0,0,20151007132503AASi3SY," Games & Recreation","
            How do you win at the board game Monopoly?
        ",EN," I've been playing Monopoly for years (I'm 30 years old) and usually I play with 2 or more people. All the years that I've been playing the game, we play until every property is bought (to avoid hours and hours of playing every time you land on someone's property to collect money) and after that, we see who has the most money. There has been times where one of us has gone bankrupt and they are out of the game. We usually have a ""house rule"" For example, if you land on ""Free Parking"" you win money like $100 or maybe $300. I wanna know if I've been playing the game correctly and if you have any suggestions on how I should be playing the game?",1,1,0
20151008182432AA336nY,5,34,"2016-08-25 16:28:46",8,"2016-08-25 13:27:53",0,0,20151008182432AA336nY," Entertainment & Music","
            How do you find a song you like, but you don't know the name of the song and the artist?
        ",EN,,0,1,0
20151009051517AASbKpd,5,34,"2016-08-25 16:29:27",3,"2016-08-25 13:28:46",0,0,20151009051517AASbKpd," Travel","
            Is the Yakuza removal of little fingers as an apology real or something fictitious from the movies?
        ",AU,,1,1,0
20151010001943AAsrWzt,5,34,"2016-08-25 16:30:14",3,"2016-08-25 13:29:27",0,0,20151010001943AAsrWzt," Education & Reference","
            What is it called when you use ""U"" instead of ""YOU""?
        ",EN,"Its not an acronym i think",0,1,0
20151010210352AAia2Xf,8,34,"2016-08-26 12:42:16",111,"2016-08-25 13:30:14",2,1,20151010210352AAia2Xf," Science & Mathematics","
            Can pillow lava be touched?
        ",EN,,1,1,0
20151011131729AAYjpco,7,34,"2016-08-26 12:43:23",3,"2016-08-26 09:42:16",0,0,20151011131729AAYjpco," Environment","
            As atmospheric concentrations of CO2 rise, how will this affect the plants we depend on?
        ",EN,,0,1,0
20151011232512AAuPmi1,5,34,"2016-08-26 12:47:39",210,"2016-08-26 09:43:23",0,0,20151011232512AAuPmi1," Beauty & Style","
            What eyeshadow looks good or makes green eyes pop out?
        ",EN,,1,1,1
20151012122214AAvvV31,5,34,"2016-08-26 12:48:53",7,"2016-08-26 09:47:39",0,0,20151012122214AAvvV31," Computers & Internet","
            When will i get my own wikipedia page?
        ",EN,,0,1,0
20151012134731AA9YvjX,5,34,"2016-08-26 12:50:02",8,"2016-08-26 09:48:53",0,0,20151012134731AA9YvjX," Politics & Government","
            How come all states don't register people to vote automatically at the dmv?
        ",EN,,0,1,0
20151013134238AASJRv7,1,34,"2016-08-26 12:51:10",2,"2016-08-26 09:50:02",0,0,20151013134238AASJRv7," Entertainment & Music","
            Are CONS still supporting Bristol Palin's sexual abstinence campaign?
        ",EN,"I guess she showed off her latest ""baby bump"" photo. 
http://news.yahoo.com/bristol-palin-reve... 
 
Oh, and do you want YOUR teenager listening to her?",0,1,0
20151014053138AA1nuN9,7,34,"2016-08-26 14:15:12",2,"2016-08-26 09:51:10",0,0,20151014053138AA1nuN9," Social Science","
            Given it's already illegal to pay women less for the same work, what pay legislation exactly do feminists want?
        ",EN,,0,1,1
20151015124641AABfRdu,1,34,"2016-08-26 14:16:54",23,"2016-08-26 11:15:12",0,0,20151015124641AABfRdu," Travel","
            Travelling Australia.. Where to start and how to plan?
        ",UK," I am planning on travelling/living/working in Australia for 6 months to a year, maybe longer who knows. I have never travelled before so I really don t know where to start or how to plan. All I know is I want to go in September next year, travel for around 3 months and end up in Perth as I have friends over there. How much will I need? Where is best to start the travels, how do I get from place to place and are there any places you would recommend?? any help would be greatly appreciated! :) thanks",1,1,1
20151015200544AADEV8l,3,34,"2016-08-26 14:17:45",1,"2016-08-26 11:16:54",0,0,20151015200544AADEV8l," Local Businesses","
            Are there motels with hidden camera in the rooms.?
        ",EN,,0,1,0
20151017161602AAofbY0,7,34,"2016-08-26 14:19:49",85,"2016-08-26 11:17:45",0,0,20151017161602AAofbY0," News & Events","
            Why does Yahoo and other news sources titillate with headlines such as ""
4 Palestinians shot dead in Israel in latest violence""?
        ",EN,"It glorifies the terrorists. The 9-11 headlines would have read ""11 Arabs killed in plane accidents in New York City"" if they'd been skewed like these Palestinian headlines.",1,1,0
20151019011138AAIvlpe,1,34,"2016-08-26 14:20:20",4,"2016-08-26 11:19:50",0,0,20151019011138AAIvlpe," Health","
            I'm sick and forced to school tomorrow?
        ",EN,"I've been sneezing and coughing like crazy and my mom is still forcing me to school tomorrow, is there any way I can convince her not to let me go?",0,1,0
20151019131714AA8Jdl2,5,34,"2016-08-26 14:20:48",2,"2016-08-26 11:20:20",0,0,20151019131714AA8Jdl2," Travel","
            Where to stay in Norway to see the Northern Lights?
        ",EN,"So I finally saved up enough money and vacation days to get to visit Norway. I've always wanted to see the Northern Lights (I live in the U.S.) and I can finally do it!! 
Where is the best hotel to stay at? Should I take a ferry or plane? And when is the ideal time to go? Winter, fall?",0,1,0
20151019180753AALnJyf,3,34,"2016-08-26 14:21:34",2,"2016-08-26 11:20:48",0,0,20151019180753AALnJyf," Education & Reference","
            What do i do!?! :(?
        ",EN," I switched schools in september and i was so upset and i wanted to switch back to my old school. Now, my dad switched me back to my old school and I m with my friends and all, but i have to catch up on all the hard work and the other school was so easy. It would be weird if i switched back to the other school and i just don t know what to do. HELP!!?",0,1,0
20151020144034AADeXal,2,34,"2016-08-26 14:23:14",1,"2016-08-26 11:21:35",0,0,20151020144034AADeXal," Society & Culture","
            Are ghost real?
        ",UK,,1,1,0
20151020163932AAxmvWE,3,34,"2016-08-26 14:23:40",3,"2016-08-26 11:23:14",0,0,20151020163932AAxmvWE," Health","
            I am getting my wisdom teeth out soon (age 12) and I am a little scared because I watched a video of the procedure.?
        ",EN,"Does it hurt when after you get them out. They will be putting me asleep but I am still scared. Do the stitches come out by themselves or do they have to manually take them out? Thanks, as you can tell by all of the wording, I am very nervous.",0,1,0
20151021051016AAWRnNH,5,34,"2016-08-26 14:25:42",1,"2016-08-26 11:23:40",0,0,20151021051016AAWRnNH," Food & Drink","
            Why do SOME vegetarians think that fish is okay to eat?
        ",UK,,0,1,0
20151021065747AAPcpPu,3,34,"2016-08-26 14:26:21",2,"2016-08-26 11:25:42",0,0,20151021065747AAPcpPu," Sports","
            Can you tell how good a fighter someone is just by looking at them?
        ",EN," if so what sort of things would you look for? I'm guessing things like their muscle tone and how steady they are on their feet? 
 
You know when 2 guys are having a confrontation and they ""look each other up and down"", what sort of things are they specifically looking for? 
 
If you aren't a good fighter anyway you could ""bluff"" whoever is looking you up and down by standing a certain way or whatever? Would puffing your chest out make you look like someone not to mess with or would that just make you look silly? 
 
(for the record I have no interest in starting a fight, just for interest)",0,1,0
20151021113958AAIUKVL,3,34,"2016-08-26 14:27:06",6,"2016-08-26 11:26:21",0,0,20151021113958AAIUKVL," Sports","
            Does cycling induce a relaxing mental state - why/why not?
        ",EN,,0,1,0
20151021122003AA6Z2hL,3,34,"2016-08-26 15:19:23",8,"2016-08-26 11:27:07",0,0,20151021122003AA6Z2hL," Food & Drink","
            Is Russell Stover chocolate good?
        ",EN,"I'm trying to decide what chocolate to get my mom for Christmas. She loves Cadbury and Lindt and she hates Palmer. Is Russell Stover high quality chocolate like Cadbury and Lindt or not really?",1,1,1
20151021123722AAr3if4,7,34,"2016-08-26 15:20:12",4,"2016-08-26 12:19:23",0,0,20151021123722AAr3if4," Politics & Government","
            Why is Netanyahoo blaming the holocaust on Palestinian?
        ",UK,"
Hitler wouldn't have killed 6 million Jews if it weren't for a Palestinian according to Netanyahu. The real question is how can idiots like this come to power?",0,1,0
20151021132630AADXYSX,2,34,"2016-08-26 15:21:06",1,"2016-08-26 12:20:12",0,0,20151021132630AADXYSX," Science & Mathematics","
            Why do people think the earth revolves around the sun?
        ",EN,"really though, it obviously doesn`t because we`re the most important species and the centre of our universe, so it must revolve around us just like the rest of the planets",0,1,0
20151021134606AAiOUiR,1,34,"2016-08-26 15:23:16",89,"2016-08-26 12:21:06",0,0,20151021134606AAiOUiR," Entertainment & Music","
            Is Halloween 2: Season of the Witch required to watch?
        ",EN,"I want to watch all original Halloween movies back to back, but is the 2nd one ""Season of the Witch"" required to watch (if I want to understand the rest of the movies) if Michael Myers isnt in it? Can I skip this one or no?
Sorry, I meant Halloween 3: Season of the Witch. The 3rd one.",0,1,0
20151021171645AAvhO4p,5,34,"2016-08-26 15:23:36",1,"2016-08-26 12:23:16",0,0,20151021171645AAvhO4p," Consumer Electronics","
            Will Black Ops 3 be different for ps3 compared to ps4?
        ",EN,"I heard they would take away some features.",0,1,0
20151021172010AAA1uVQ,7,34,"2016-08-26 15:24:40",5,"2016-08-26 12:23:36",0,0,20151021172010AAA1uVQ," Environment","
            Are we in a race against time, to save our planet from 0.00035 mole fraction CO2?
        ",EN,"In November 1990, the English and French Prime Ministers announced that we were in a race against time, to save our planet. Barack Hussein now says we are in a race against time to stop global warming. Global temperatures are almost exactly the same as the were 25 years ago.
http://www.newspapers.com/image/66042512/?terms=un%2Bten%2Byears%2Bto%2Bsave%2Bthe%2Bplanet%2Bglobal%2Bwarming
https://www.flickr.com/gp/31188468@N03/T1U98i
Hey CankerSore its RSS data that isnt manipulated data like land based readings.  
Half of the Nasa graphic you link to was filled in with red in areas with no data to make it look bad.",0,1,0
20151021220018AA7KFX9,2,34,"2016-08-26 15:27:21",1,"2016-08-26 12:24:41",0,0,20151021220018AA7KFX9," Science & Mathematics","
            What if we are born with only 16 chromosomes?
        ",NZ,"Recently, I learned in science that onions have 16 chromosomes. So, if a baby gets 8 chromosomes from each parent, would the baby be an onion??",0,1,0
20151022010213AAdOMrI,1,34,"2016-08-26 15:27:40",2,"2016-08-26 12:27:21",0,0,20151022010213AAdOMrI," Games & Recreation","
            Which Game should i download?????
        ",EN," Ive been searching for a proper first person shooting game all over the web for over a week. 
ive tried searching low spe,mid spec,etc............ 
Couldnt find one......... 
So my system requirements are.......... 
RAM:2 gigs 
Video Memory:830 mb Ati raedon xpress 200 series 
Proessor:2.66 ghz 
My pc is intel dual core 
So yeah............ 
I need games between this requirements...... 
And im thinking to download the game so it should be less that 2 gb space. 
THNX!!!!!!!!!!!!",1,1,0
20151022025502AAM4MPs,3,34,"2016-08-26 15:28:44",3,"2016-08-26 12:27:40",0,0,20151022025502AAM4MPs," Cars & Transportation","
            Can you convert an internal combustion auto engine to a hybrid for more power?
        ",EN," Considering the engine power options of the Focus RS is limited to an inline 4 -(which I will admit 350 hp is not bad)---it would seem that since you can only get so much power out of an inline 2.3 liter 4 cylinder that the next step would be to add a hybrid motor, like the motors that ""super-cars"" use for an initial launch.  It would seem that with an electric motor one could counter the turbo-lag associated with high performance set-ups and/or enhance the maximum power output of a car.",0,1,0
20151022041642AATlFFc,7,34,"2016-08-26 15:30:16",1,"2016-08-26 12:28:44",0,0,20151022041642AATlFFc," Environment","
            What are the bad emerging technologies for the environment and ecology?
        ",EN,,0,1,0
20151022101201AAe7SH9,5,34,"2016-08-26 15:30:28",1,"2016-08-26 12:30:16",0,0,20151022101201AAe7SH9," Social Science","
            IS IT POSSIBLE FOR TATTOOS TO BE PASSED GENETICALLY FROM MOTHER TO CHILD?
        ",EN,,0,1,0
20151022190156AAXHTgA,1,34,"2016-08-26 15:30:44",1,"2016-08-26 12:30:28",0,0,20151022190156AAXHTgA," Society & Culture","
            How are you in spanish?
        ",EN,,0,1,0
20151022213803AAaHy20,1,34,"2016-08-26 15:31:22",2,"2016-08-26 12:30:44",0,0,20151022213803AAaHy20," Pregnancy & Parenting","
            Should I report this to the school board? 4th grader daughter is being taught this in school?
        ",EN," Should I report this to the board? Daughter being taught that ""whip/naenae"" crap in school by teachers? 
shes only in 4th grade. Theyre making her watch the video choreography at home and practice if. its a song trend made by teenagers....what has this generation come to? it's not a dance class or anything, its for fun but i dont agree with it. Stupid dance and song that has become very popular this year. They don't teach children to do the ChaCha slide, humpty dance, running man, robocop, cabbage patch, and all that cool stuff from back in the day? (I'm 43 by the way)....this is just sad. I've also heard their teaching them this ""hit the quan"" dance next. Next thing is twerking like miley cyrus and all this justin bieber swag crap. I didnt know these dancss until I googled them and I'm so dissapointed in this generation's education system. This is just disgusting. they told the children (my daughter included) to practice these dances by next wednesday. I don't condemn this and agree. Should I report this stupid crap? This is why i didnt want to raise kids in this screwed up generation.",1,1,1
20151023043252AAf9Tb1,5,34,"2016-08-26 15:31:43",1,"2016-08-26 12:31:22",0,0,20151023043252AAf9Tb1," Computers & Internet","
            How do I turn off the maximized screen?
        ",EN,,0,1,0
20151023060358AA7V3F5,3,34,"2016-08-26 15:32:15",10,"2016-08-26 12:31:43",0,0,20151023060358AA7V3F5," News & Events","
            Is the ever present tag of ""Racism"",a ploy to distract from the ongoing moslim invasion of Europe ?
        ",UK,,0,1,1
20151023064231AACRWu7,1,34,"2016-08-26 15:32:37",1,"2016-08-26 12:32:15",0,0,20151023064231AACRWu7," Politics & Government","
            Why do atheists keep screaming persecution if we refuse to vote for atheists?
        ",EN,"We don't vote atheists because of their inhumane policies. Legalizing incestuous marriage? Forcing Catholic hospitals to perform abortions? Trying to strip tax exempt status from Churches because they won't perform gay weddings?",0,1,0
20151023080455AAzlgh6,5,34,"2016-08-26 15:33:07",1,"2016-08-26 12:32:37",0,0,20151023080455AAzlgh6," Pets","
            Do birds eat cats?
        ",EN,,0,1,0
20151023092600AAuBnJ6,7,34,"2016-08-26 15:33:37",10,"2016-08-26 12:33:08",0,0,20151023092600AAuBnJ6," Society & Culture","
            I have heard many Christians say that Noah's Ark really happened and is not allegory, but why would they want that to be true?
        ",EN,"Doesn't god drowning an entire civilization including babies and children kind of make him look evil?
Are you saying that children weren't drowned in a global flood? 
 
What could a baby have done to be considered evil?
So you are saying you are okay with killing babies as long as you have a fallacy to hide behind. 
 
Got it.",0,1,0
20151023142833AAKWfgz,5,34,"2016-08-26 15:33:53",1,"2016-08-26 12:33:38",0,0,20151023142833AAKWfgz," Home & Garden","
            Could a 125v 1 amp switch handle 12v at 5 or 10 amps?
        ",EN,,1,1,0
20151023170025AAcINPD,2,34,"2016-08-26 15:34:45",19,"2016-08-26 12:33:54",0,0,20151023170025AAcINPD," Society & Culture","
            Does Nibiru really exist and is it going to end the world before New Years. There have been sightings and I'm afraid.?
        ",EN,"There have also been warnings and I'm 14 and I want to know if it will be our downfall in the future.",1,1,0
20151023175549AAftkdO,5,34,"2016-08-26 15:35:04",1,"2016-08-26 12:34:45",0,0,20151023175549AAftkdO," Computers & Internet","
            How long does it take to download Windows 10? I have 3.84 of RAM, Intel(R) Core(TM)2 Duo CPU T6600 @ 2.20GHz, 64-Bit Operating System, and?
        ",EN,,1,1,0
20151023190706AAsvprs,5,34,"2016-08-26 15:35:19",1,"2016-08-26 12:35:04",0,0,20151023190706AAsvprs," News & Events","
            What does this symbol represent?
        ",EN,content://media/external/file/23170,0,1,0
20151023193119AADOt20,1,34,"2016-08-26 15:35:32",2,"2016-08-26 12:35:19",0,0,20151023193119AADOt20," Food & Drink","
            What's the perfect omelette?
        ",EN,"
I love making omelettes for my family. I make 'em any which way. I, personally love cheese and mushroom with roasted long hots. I like them fluffy so I make them with a touch of whole milk or sour cream. I LOVE omelettes?",0,1,3
