ID,TITLE,BODY,CAT,CLASS
20140316182553AA579Y8,What do dead things smell like?,"I know people say dead people and animals have a particularly foul odor, but does anyone know what it smells like specifically? Just wondering.",Dining Out,Complejas
20140415163554AAOqH7T,What do people from Cork call themselves?,"I was just wondering do they call themselves ""corkers"", ""corkonites"", ""corkians"", ""corkish"", or something else. Just for reference I am talking about county cork in Ireland .",Travel,Particulares
20140522102402AAPIqjl,What are some commonly used vegetable that are used in Mexican dishes?,*vegetables,Dining Out,Complejas
20140604110040AAhQ1St,Is there a Bali total fitness gym near you?,"I may wish to join one. Also, what is your opinion of it's gym equipment?",Dining Out,Opiniones
20140629144425AAmlDPg,Glasgow noise?,"so I've just moved to glasgow and i live on a main-ish road above glasgow. below me, the street kind of widens and on the corner is a little shop thats open late hours. obviously living in any kind of city, you're going to get the type of people that hang around on streets and make noise. my bedroom window is single glazed and faces onto this area (2 floors down), so i hear every word of their conversations which are often quite loud and not the nicest of conversations late at night. there are also some kids (10/11) that play football at about 11 at night and often kick it against my wall, making a loud noise. is there anyone i can contact to help this situation? notes: I know contacting the police is a waste of their time... i know theres community wardens but do they help? i know to expect some noise but this does get a bit excessive. thanks!",Local Businesses,Otros
20140726022657AADcxBA,How can I join the Indian Army?,"I am 100% Indian but born and raised in America. I only have a US passport, but I have an OCI card. Can I join the Indian Army? If I can, what is the process?",Travel,Archivada
20140814114557AAGgtrm,Were to bye a cheap pistol?,"Something cheap I only need to fire on shot I live in denver ,co if any one knows some cheap gun stores",Local Businesses,Archivadas y Web
20140818082127AAtyLg2,What does the cow say?,Is it oink?,Entertainment & Music,No respondibles
20140829185932AALNpat,Why do people call Michael Jackson the King of Pop when really?,When really we all know that Coke is the King of Pop. Who do these fools think they're fooling? I saw some clown on here even trying to claim he was the King of Rock as well. The closest Michael ever came to rock was finding a pebble in his back yard.,Dining Out,Opiniones
20141026134129AAEwymA,Were the Mongols and Turks linked somehow?,"Just curious. I know that mongolio at the time of Chinggis khan, were a mixture of Turks and mongolions. Are most Turks ancestry the mongolions?",Travel,Web
20141110212830AAzJy8U,Is there any job at the age of 13?,i am in India,Local Businesses,Archivadas y Web
20141112205003AAFcAPA,How can it be legal to sell this kind of thing?,"Kfc has a new burger called the Hash brown couple or some crap. It's two fried chicken pieces as buns, with cheese, bacon, a hash brown and sauce on the inside. We have officially become America 2.0.",Local Businesses,Opiniones
20141113164634AAZ1KTZ,Need help planning a daytrip (lower mainland)?,"I live in Burnaby, British Columbia, and my boyfriend and I are trying to figure out something we could do for a daytrip or something. We've already done a lot of things so tourist things such as science world or the aquarium are out of the picture. Even something like driving out to Whistler would be awesome. But both of us are totally out of ideas. HELP PLEASE!!",Local Businesses,Particulares
20141117181735AA8zvkp,Why do Italians eat pasta.?,Why do Italians eat pasta? Why do they like it so much,Dining Out,Opiniones
20141209135837AAjdLtB,"How do I get a job on the books fast in Brooklyn NY? I can do things like UPS, Rite AId, CVS, Walgreens, Duane Reade. Just apply?",Also CDL truck deliveries. I have to get a CDL license first. Also deliveries. My main expertise in computer repair and cell phone screens. I want to work in Shelor LLC. Hi! :-) Also McDonalds.,Local Businesses,Particulares
20141216123442AAwDrMx,"Sydney AU Cafe and now 120 dead Pakistani kids, where are all of the killings in the name of Jesus that Liberals talk about?",Please don't answer about the 13th century and the crusades.,Dining Out,No respondibles
20141222190523AA0UFf6,Did Burger King really buy Tim Hortons?,I saw a post on 9GAG (screenshot attached) and I wanted to know if it was true if Burger King bought Tim Hortons and took Timbits off the menu. I used to live in Canada (Australia now) and I really want to know!! Thanks,Dining Out,Web
20150109161615AAiUBYD,Cheap hotel in Brighton under 17!!?,"Right, so I don't want answers that give me stick about this but, it's almost time for my 16th birthday! And my boyfriend of 2 years and I have got to the point in our relationship where we want to engage in sexual intercorse. DONT WORRY WE WILL USE ALL NESSASSARY PROTECTION!! But it will be our prom in June and I would quite like to do it on that night because it would be so special! So I need a motel/hotel that would let 16 year old book and pay with cash, IN BRIGHTON! It would be really helpful! Thanks!! Ps I'm heavenly dyslexic so please mind my spelling and grammar.",Travel,Particulares
20150121072419AABeB6F,Why are some cork people so deluded?,Calling yourselves the 'real' capital? Your not even city number 2 in Ireland. What do you have that us Dubs dont?,Travel,Opiniones
20150129105314AAZaEzs,About Healthcare?,centers,Local Businesses,Otros
20150207160333AAQ8ik2,Why does CONsertatives think Presadunce Obamas needs CONgrass or the Senate to pass laws?,Shadow Immagration is Presadunce Obamas solution to keep things moving when the legaslative and judicial branches is rasist and appose him! When will CONsertatives learn how the govament and exacutive orders work?,Yahoo Products,Opiniones
20150306182501AAuVutA,For my job I am getting paid $9.00 an hour and each day I only work 4 hours and 30 minutes am I getting cheated because of the 30 minutes?,People keep telling me that my job is cheating me out of money is that true? I've had schedules like this before and it wasnt an issue but now that I have a new job they keep telling me that.,Local Businesses,Opiniones
20150317070742AANgwIq,How can Ted Cruz run for president if he was born in Canada ?,I thought you must be born in the U.S to be elected president.,Travel,Archivadas y Web
20150404135601AADcAvY,POLL: who here?,"Ok. Do I'm doing a school survey. I'm a shy person when it comes to surveying others in person, so I'll ask here. Here's my question: Who HERE doesn't like gays? I certainly don't like them.",Local Businesses,Otros
20150413153114AAksYIG,How to commute around gold coast?,"I am flying from new Zealand to the gold coast Australia. Once off the plane I won't have a vehicle in the gold coast. I will be staying for 4 nights 5 days, and will rely on taxi, train and bus for transportation. I will be going from dreamworld to currumbin wildlife sanctuary and everywhere in between. My question is are the taxis, trains and buses located everywhere and in obvious locations or are they only at certain places. Like if I'm at dreamworld and want to go to surfers paradise will there be a transportation option for me out there or if I want to go from surfers paradise to the casino and then back to my hotel is there transportation there",Travel,Particulares
20150414190424AAwBNAq,Should New York Sucede?,I think my fabulous state of New York should secede from the union where are one of the richest states in country and we would be richer if we were are own country.We have biggest city in country and we have farm and ariguliculture in upstate ny Andrew cuomo ruined are schools teachers are tired of him we are the only state to have regents exams We grow food apples oranges corn all over the state We don't even say pledge were trying to create are own We do say pledge but also in Arabic i don't agree with that,Local Businesses,Opiniones
20150416213424AA8XXA0,List of restaurants in canada to apply at?,"for a teenage girl. examples: boston pizza, moxie's, earl's, the melting pot, etc.",Dining Out,Complejas
20150508223437AAUOXWA,Is it illegal to copy paste a wikipedia article in an assignment?,"i feel bad for wikipedia, so i always type my own homeworks and essays rather than copy pasting everything. i want to ask, is it legal to copy paste? im tired right now and i want to copy a portion of a wiki article this is kenjis younger brother",Computers & Internet,Opiniones
20150514220531AALmOPD,How can build my body weight in 1 month.?,My age was 26. I am an Indian. Presently my weight 42 k. Height 164 cm,Local Businesses,Particulares
20150611095445AALZqt9,What do I do?,"I can't even go shopping without being accused of looking at other women, when I go to the gym she accuses of going there to chat and look at other women! She ask to see my phone contacts my whatsapp contacts and have ask me to delete female friends from my phone and facebook which i have and now I don't have any contact with them, but she's allowed male friends to chat to whenever she likes! I could on and on but that should be enough for you to imagine how it is for me? It's making me feel down and depressed! What do I do?? Please help! Do I end it or just keep putting up with this ****?",Yahoo Products,Otros
20150624124737AAtvF4K,How popular is Myspace now day??,Do you still use Myspace now???,Computers & Internet,Complejas
20150626100650AAORZ1K,Any helpful tips for a student going abroad to New Zealand?,"Hi! So next year I am going abroad to study in New Zealand. I chose NZ because I think it is one of the most beautiful places On the planet.. But then again, I've only seen picture and videos. I'm really struggling on what to expect, what should I pack? I will be there for a whole year, and from what I understand there is many different types of weather , unlike California where it stays a pretty reasonable temperature. Also, what do the teens do? Are they social or do they all just do their own thing. I went to NY and everybody was so antisocial. Sorry if I am making you guys sound like aliens , I know you are similar to other teens around the world; I'm just nervous and I'm asking stupid questions. Is it true that high schoolers must wear uniforms? I think that's actually cool and will be a good change. Another thing , am I imposing if I am wanting to see and do things in NZ? For example , I have never been surfing or skiing, and I heard that you can do both in NZ. I'm also a nerd so seeing the places where the hobbit was filmed would be amazing:) what is tramping? I think it is when you go On trails or you go hiking? Haha,I laugh because tramping means something COMPLETELY different in the USA XD! Would my host family want to do things with me? Or am I expecting too much? Oh, speaking of host families , what should I bring then as a gift? I was thinking a cookbook with my families recipes, candy, and maybe a book with picture from my state. Thanks for helping!",Travel,Particulares
20150710074446AAWWSpZ,Did oil companies kill the electric car?,Does Elon Musk know about this?,Environment,Complejas
20150712114319AA4j2lk,Is it cheaper to buy surfboard where it's not local or local? I mean close to the beach or in urban?,in a country where surfing is popular or not?,Sports,Complejas
20150723022736AAAOtEx,How tall does a back row rugby player need to be ?,Preferable 6 an 8 ?,Sports,Web
20150803144954AA7FJnX,Are we running out of water..?,"Why do people worry about how long their showers are and using the right amount of water with dishes and laundry? Other than the bill going up I mean. It's horrifying to me because obviously if we run out if water we're screwed. A lot of articles say ""saving"" those drops. Why..?",Environment,Archivadas y Web
20150804012333AA3Fyx4,1996 Acura Integra Popping out of Gear?,"I have a 1996 Acura Integra DC4 with 189k miles. Stock B18B1 and Trany. Pops out of gear here and there. Family members tell me it's just because I let off gas. But I don't think that's right. Any suggestions? Currently going to a Trade school to become a mechanic and i forget to ask my Instructors about it, so since I'm up anyone have suggestions? Family members also told me it can be low on Fluid. It's my first Manual trans also, so Educate me if possible I'll really appreciate it. Happens on 3rd & 5th gear btw.",Cars & Transportation,Opiniones
20150813204626AAVV50y,When did you stop sleeping with stuffed animals?,I think I stopped when I was thirteen.,Games & Recreation,No respondibles
20150817152325AAv0K2H,How are democrats racist?,"I usually see people (republicans) say democrats are racist. How so? Republicans have recieved support/sympathy from people like nazis and the kkk and also seem to only care for white men. I don't hate republican supporters and i know a majority of republican supporters aren't racist (as most people are against racism) how ever, the politicians seem very undesirable to me (and most others) and racists usually side with them. Just sayin.",Politics & Government,Complejas
20150818191509AAc7JXd,Whats the best way to win money playing slots?,I know there's no science behind winning money on slots but there must be pointers to look for when picking machines,Games & Recreation,Particulares
20150820140643AAl24aT,Can someone link me some easy songs for violin?,"I want to learn to play violin, but i only have my self and the internet. Please help :) Maybe some tricks for a newbeginner?",Entertainment & Music,Particulares
20150821123606AAJ2IJ0,Can banks see your internet history/activity?,"I just recently got a debit card and my mom (jokingly) said ""alright now they have access to all of your web activity. Does this mean she can see what i do online or did she mean she can see what i have bought online. Im not looking at anything I shouldn't be but its just out of curiosity",Business & Finance,Opiniones
20150821135527AAz3lVQ,Is there heavenly wisdom in the Hebrew Letters?,Zohar,Society & Culture,No respondibles
20150822110921AAVy5dp,What freedoms does the fight against global warming threaten?,This is one question for which no answers would be no surprise.,Environment,Complejas
20150823030508AADPkH3,Will Carbon Dioxide melt ice?,"We have one contributor to this site, who makes that bold statement. https://answers.yahoo.com/question/index... Is this voodoo science or real science? Last Year: That statement was made directly. Also, that link is a Y!A link. The Y!A staff may be corrupt and in the tank for global warming, but I don't think Yahoo would last long if viruses were imbedded in their Q & As. If that happened, I am sure Marissa would chop a few heads off. But here is a direct copy and paste from that question by an answerer, Any carbon dioxide will melt ice. There is nothing magic about man made carbon dioxide, and you would know that if you actually learned some science, instead of quoting you hero, Goebbels. If anything, carbon dioxide outgassed from the oceans would be a stronger greenhouse gas than the carbon dioxide from fossil fuels. It is richer in oxygen-18, meaning that more carbon dioxide molecules have one atom of oxygen-16 and one atom of oxygen-18. Such a molecule is not perfectly symetrical and will absorb photons which cause symmetric stretching. (end of quote.)",Environment,Otros
20150823163751AAUJ2eJ,Just beat up 7 people for no reason and feel bad about it?,I don't like being looked at and a man was looking at me so I beat him up and some other people started to look at me so I beat them all up,Environment,No respondibles
20150824005807AAD0aiA,Ramadan: Are we the animals for torturing Beautiful God given creatures?,https://www.youtube.com/watch?v=ZXyR7fpQO5k&feature=iv&src_vid=kMww9KnObKM&annotation_id=annotation_1106289313&oref=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DZXyR7fpQO5k%26feature%3Div%26src_vid%3DkMww9KnObKM%26annotation_id%3Dannotation_1106289313&has_verified=1 HOW CAN YOU HONESTLY SLEEP AT NIGHT WHEN SUCH A HUMAN EXIST IN THIS WORLD? I will absolutely have no mercy and shoot such people,Society & Culture,Opiniones
20150824015406AAJddGw,How come my friend keeps on annoying me and says that my camera is out of date?,I am a youtuber and I have a friend who is also a youtuber. He lately has been getting on my butt about me using an old casio camera from 2010 to film videos. He has a sony handycam that films in 1080 and claims that if I use a better camera then I will keep my audience. I told him that I like my casio and that I want to continue to use it and he says that I am going to lose subscribers if I don't listen to him. He says my camera sucks because it films in 480p. I don't get why he is so picky about cameras and tries to force things onto me when I don't want to do it. He calls me stubborn and never takes advice from anyone. How come he thinks that my camera is out of date ???,Consumer Electronics,Opiniones
20150824030650AAkIheC,Where are all those devastating hurricanes that were supposed to happen due to Global Warming?,"http://www.csmonitor.com/USA/2015/0822/H... As we see the predictions from 10 years ago have fallen flat, to put it mildly. Even as late as 2012 we can see the clingers on touting this disaster. http://www.independent.co.uk/environment... Now we see that maybe Climate Change may be coming to the rescue. http://news.nationalgeographic.com/news/... Now it states that Climate Change is canceling out Global Warming. Whew! It must be tough to be a Climate Scientist now days! Can anyone provide a logical explanation for these highly paid scientist's conclusions?",Environment,Complejas
20150824072544AA4BFgz,What's my eye color?,I can't tell,Beauty & Style,Opiniones
20150824201503AAfkj2F,Can I snort antibiotics?,I know this probably sounds crazy but I just like the feeling of snorting things instead of swallowing pills. I have/had strep throat and now I'm supposed to be taking amoxicillin. Will it mess up the effect of the antibiotic if I crush it up and take it that way?,Science & Mathematics,Particulares
20150824202741AAdLZVU,If I ran for president and won could I act really stupid and manage to not get impeached?,"I'm talking about the greatest joke of all time. If I was to study law for 8 years and become determined to be the greatest politician of all time for the sake of my joke. Would I get impeached if I won the election and just did really stupid things once I was in office? like REALLY stupid. Here's an example I would demand that all humans were to be removed from the White House and I would live with monkeys and replace all rooms with indoor gardens with banana trees and I would poop in my hands and throw it at people. Another example of stupid **** I would do is this; every time I was supposed to give a speech I would just start making monkey noises and throw my poop at the reporters. Would this be worth it even if I did get impeached? or would the corrupt government stop my plans as soon as I demanded humans to be removed from the White House? Serious answers only. I'm not a troll, this is something I've contemplated for the past 3-4 years. I've almost earned a masters degree in business law and I really want to do this.",Politics & Government,No respondibles
20150825122706AAVdEcl,Which is it? Are we going to burn to a crisp or freeze to death with Climate Change?,http://www.wnd.com/2015/08/mankind-threa... Here is a climate scientist that says the opposite of Al Gore and Jimmy Hansen.,Environment,Opiniones
20150825135352AAElf0Y,How do i stop social services from calling me vulnerable? i?,"when i was 17 i had a social worker because of family problems and i wasnt dealing with it very well, they classed me as vulnerable, now i am 22, been in a stable relationship for 4 years, with a house and neither i or my partner are mentally ill or on benefits or anything like that but were turned down by social services about fostering a family members child as my boyfriend has a history of violence from when he was younger and they say still say im vulnerable even though iv not had a social worker since i was 17. how am i supposed to foster or adopt if they still see me as vulnerable? even though they dont know me",Pregnancy & Parenting,Particulares
20150825144341AA35Ft8,Neighbor water runoff?,How can I stop the water running from my neighbors property? My house is literally the lowest point so I don't know how a trench drain would help. The water runs towards my house and under the driveway hitting my foundation. Help please.,Home & Garden,Particulares
20150825164449AAigfc6,Why do people hate pigs being pets?,They're cleaner than dogs and as smart as poodles. The only reason why they bathe in mud is because they can't sweat.,Pets,Opiniones
20150825184946AARB6uf,Have lice in my house but not in my hair.?,"So on Saturday, I found 2 bugs on my daughter's face - I immediately put them on scotch tape and then called an exterminator yesterday. He came to my house today and looked around and then took the tape to his office and looked under a microscope and called back and said he was positive it was lice. Well, I have checked my daughters head and my husbands and he checked my head and we cannot find lice or nits anywhere. How can there be lice if they aren't on us? We have no pets, either.",Health,Opiniones
20150825190908AA9U24C,Is Chess an Endorsement of Polygamy?,It is possible to have more than one Queen at a time. Doesn't that make the King a polygamist? Has any religious group ever sought to ban chess on the ground of its polygamous nature?,Games & Recreation,No respondibles
20150825201947AAVLIpn,Can someone see what i did on their wifi?,i was at a friends house and i looked up something embarrassing on my phone(which is on safari private browsing) using their wifi. i didn't go to any sites i simply googled it and didn't click on anything and exited out of it. is there any way he can see what i looked up?,Computers & Internet,Web
20150826001145AAbm2fO,Are we in our fathers before we're in our mothers?,"Just think about it, it takes both egg and sperm to make a human.BUT the sperm cell is alive unlike the egg cell so wouldn't that make us start off as the sperm cell?",Family & Relationships,No respondibles
20150826023714AAFqM2E,Was Hitler's hatred for the Jews irrational?,"Right, so I am in the middle of reading Mein Kampf by Adolf Hitler and I am beginning to winder whether his argument on why he hated the Jews is biased. Maybe he was intending to publish it so his plans for the Jews was unexpected. But generally, he followed the same plan with the concentration camps and stuff with only a few minor changes. So why did Hitler really hate the Jews? Because I am finding it hard to believe that such strong hate could be irrational.",Arts & Humanities,Complejas
20150826052837AAaJO2P,What is it about AGW that you are skeptical of?,"This was asked of me in a comment to my answer yesterday. And I feel it is a very fair question. I'll answer first and invite skeptics to share their views on this. We know warmers are going to put words in our mouth so this should be interesting. My main scientific skepticism is climate sensitivity (ECS). Here are some specific problems I have related to that: - The value of ECS is given as a range of 1.5-4.5C. These values have not changed since the Charney Report in 1979. After billions of dollar in climate research and 36 years of work, the range has not been narrowed. - The common value for the median ECS is 3C and climate models use this value (or slightly above it). But many recent studies have come up with a median value much lower, closer to 2C. - If we assume a median ECS of 3C and given the amount of warming since the industrial era and given the amount of CO2 man has put into the atmosphere, especially over the past 30 years, for models to be correct, warming will have to accelerate to a very high rate. My secondary skepticism surrounds the predictions of the net effect of warming on ecosystems as well as the plausibility of actually reducing emissions in a way that has a net positive effect. For example, the EU ETS scheme has been an abysmal failure and has actually added emissions, the opposite of intended: http://sei-international.org/news-and-me... @FSM: ""I am skeptical that is a money grab."" You should re-think this one. http://www.insurancejournal.com/news/nat...",Environment,Opiniones
20150826065331AADTJRt,Is 7200 rpm good for a 2 TB hard drive?,My new PC is coming with one How much will it affect gaming?,Consumer Electronics,Particulares
20150826075643AAdUVPo,Surge Protection on Ethernet cable. How am I expected to install this in order to protect my computer? The grounding wire confuses me.?,"This is the item in question, it was recommended for my underground, between buildings, ethernet installation. http://www.amazon.com/APC-PNET1GB-ProtectNet-Standalone-Protector/product-reviews/B000BKUSS8/ref=cm_cr_dp_see_all_btm?ie=UTF8&showViewpoints=1&sortBy=bySubmissionDateDescending I just want to know how to properly install this so my computer will be thoroughly protected through the ethernet port during a potential lightning storm or electrical feedback. Thank you in advance. Update: I've yet to purchase it, wanted to understand it first.",Computers & Internet,Particulares
20150826083845AAa1bMh,Why can't Cyclops stop lying about global warming?,In his current question--which he blocks people from answering--accuses climate scientists of lying because they bring up the fact that warm temperatures intensify droughts (hardly controversial). Why does Cyclops lie? Why doesn't he let people refute his questions? Do you think it's fair that he gets to...,Environment,No respondibles
20150826090340AAYbD5v,If I'm not US citizen how difficult can I get a job in CIA or FBI or another job in USA?,"Hi everybody! I want to know that if I want to get a job in cia, fbi or maybe another jobs in America but I m not US citizen can I get it? Or I have to change my nationality? I really want to know, that is my plan in the future. please let me know if my english is wrong, I m not good on it. Thank you :D !",Politics & Government,Particulares
20150826100614AAAGrvV,What happens if I get caught driving without a license?,"I have a driver's license, I just left it in my wallet at home.",Cars & Transportation,Archivada
20150826145548AA4qnD9,Do girls like old fashioned gentleman anymore?,"Do girls like old fashioned gentleman anymore? The men who put an honest days work in, take responsibility, respect woman, and take responsibility in their lives. I'm a 20 year old guy, and this is the type of guy I am. I'm up early everyday to go to work, I'm a diesel mechanic. I have dreams in the future to build my own house in the country, I want to get my pilots license, I enjoy building and fixing things, and I'm working on becoming a volunteer firefighter. I don't drink, don't party, I don't smoke or chew, I focus on important things in life, rather than partying. I would absolutely love and it would be a blessing to find a lady who respects herself, is a virgin (I myself am), and who loves me for me. It just seems like every girl I see, acts with no self respect and has slept with many guys like its no big deal. Do girls even like my type anymore? Thanks for the answers.",Family & Relationships,Opiniones
20150826150431AA7eDYA,Can you think of any creative ways to destroy an Xbox?,"Besides the obvious smashing it or pouring water into it, are there any creative ways to destroy an Xbox? Especially if it makes it look accidental or like the Xbox simply stopped working. Last week, I broke my brother's Xbox by pouring water into it while he was at school. I did this because he's...",Consumer Electronics,No respondibles
20150826163903AAk3Had,Isn't it time that the UK stopped being selfish and allowed the Calais scum in and provided them with housing and unlimited benefits?,"I've been taking anti-liberal tablets prescribed by my pakistani doctor all day, they aren't working!",News & Events,No respondibles
20150826171628AASyb4G,How do I prove to my ex I misscarried his kid?,We broke up and I ended up finding out I was pregnant after. I tried to tell him the first week and he blew me off. I waited and told him he didn't believe me so I said I hit my period... Then I scedualed a abortion because I was told I could not keep this baby because of my condition. (I eventually told him again) I lost it today but because I was only 4 weeks it didn't hurt as much. I didn't have to go to the hospital. He won't believe me now and I have to prove it how,Pregnancy & Parenting,Particulares
20150826184715AA4Ifk0,Should I be excused from my summer reading?,"I am new to my school and over the summer my class had a summer reading of The Count of Monte Cristo. I didn't know about the book and that they had a summer reading and so I wasn't able to read a single page from the book, and the whole first two weeks of my English class is going to be dedicated to the book. In fact, I was recently given a quiz about the book (I obviously couldn't answer any of the questions) and so I had to turn it in blank. Shouldn't there be some sort of exception for student new to a school who were never given the summer reading assignment?",Arts & Humanities,Opiniones
20150826193655AAkbyde,Can I pull bullets out of their casings?,If I got a pair of pliers and tried removing the bullet from the casing is there a chance that it'll go off?,Sports,Web
20150826204715AAfFPSE,Is it weird makeup 10 points?,is it weird that i prefer revlon over some of my high end products like mac and or chanel i dont know why but i just love the formula from the revlon glosses and shine lipsticks especially since they have moisturizing qualities dont get me wrong i still buy from the high end brands for certain colors but then i feel as if drugstore brands are stepping their game up with their formulas is this weird and plus i mainly use up my revlon for everyday and use my high end for special occasions and whenever i feel like it i am guessing some people think i am weird about this best detailed answer 10 points,Beauty & Style,Opiniones
20150826205708AAOmA1a,Good name for a chevy silverado?,Bought a 2003 Burgundy/maroon chevy silverado. I want to name her... Any ideas?,Cars & Transportation,Opiniones
20150826205954AAqTcou,Is my pink toe tarantula dead?,"I own 3 tarantulas, one being a two inch male I've added to the family about a year and a half ago. For the past few weeks he's been refusing to eat, but he still was crawling around his cage, being the hyper little guy that he always is. Then one day I saw him on his substrate (I NEVER see him on the ground, he's always at the top of his cage) and I assumed he was going to molt. I waited a week, and he still was on the ground, but he isn't upside down. His butt is kind of buried in the substrate and his legs aren't completely curled in, he looks like he's just chilling there but I don't know. He hasn't built any kind of molting mound or webbing. I've been taking great care of my spiders and I haven't experienced a death of one so I'm mortified right now. I heard about spiders molting upright at times, but I also heard of SADS (Sudden Avic Death Syndrome). I'm pretty sure he's dead but I just want to know for sure. Any advice?",Pets,Opiniones
20150827003953AA1wIJO,Wil I have a higher chance of getting pulled over if I drive a 64 impalla?,I'm in high school about to get my drivers license and I was wondering if I would have a higher chance of getting pulled over?,Cars & Transportation,Particulares
20150828202605AADxNdd,How to be artsy?,"I try, but i can't do it. I get the idea, and i have a $700 canon camera, i live in southern cali but what do i take pics of to have a cute instagram account?",Consumer Electronics,Complejas
20150829001742AAocwUZ,Why are girls so fake?,"You can be fiddling with your stuff and one of them comes up to you and says ""hi blablabla, what are you doing?"". Then she goes back to her friends and says something like ""hahaha he's so stupid!"" all within earshot! Some guys do this too but the majority are girls. WTF",Social Science,Archivada
20150829065332AAEeakR,Ways to make yourself grow quicker?,"My sister is 9 years old, and we are planning to go to Thorpe Park in 3 weeks time. But at the moment she is only 1.3 meters tall and she needs to grow an inch to get to 1.4 meters to be able to ride all of the big rollercoasters. Do you know any ways she can grow quickly to be able to ride the rides? Because she'll be really upset if she's not tall enough and I will have to go on everything by myself :(",Games & Recreation,Particulares
20150829134602AAwcejE,I had a dream where I died and I want to know what the details might mean?,"I had a dream last night that was very vivid.. For some reason I ended up in a hospital and I was laying down. The nurse said there wasn t anything else to do but to die, so she injected into my IV some concoction. As I laid there was the most emotional part of the dream.. Laying on the hospital bed looking up at the IV knowing that any second I would be dead and my life would be at an end. And in those final seconds my biggest sadness was not being able to tell my mother how much I loved her and that I ll miss her. I ve never had such a vivid dream in my entire life.. And as I woke up immediately my body just felt tweaky and spazzy. Such a weird and emotional dream and it felt so realistic..",Social Science,No respondibles
20150829134804AAf4Tpa,Why do people always almost run me over in the cross walk???,I don't get why this happens to me. I press the button and then the light says I can walk. But when people are trying to make a left turn they always ignore me in the cross walk and almost hit me. It happened to me twice today while it was sunny too. It seems like I have to stare down the drivers before I cross. But even then they like to almost run me over. I have the right of way. Walking to school shouldn't be a life and death situation. Just so you know it's this type of light,Cars & Transportation,No respondibles
20150829152814AAcKyhk,Can I take my 1st graders to the playboy mansion as a field trip??,I'm a 1st grade teacher and I love hot naked blondes so maybe my students will??? how do I bring it up to the principle?,Education & Reference,No respondibles
20150830121638AAiUOyN,Why do so many people in britain have irish last names?,"Clayton, kaye, o donnell, o connell, geraldine, Donovan",News & Events,Complejas
20150830201740AAqwDyt,Throwing up and having it burn after?,So i go away to drunk at a party and threw up everything i had eaten like ever. It got to the point of just throwing up liquids and no more food. I woke up (still drunk lol) and my throat hurts to the point of not being able to eat. should i be concerned.,Health,Otros
